                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9627,                    4.9,                  1.791,                0.21374,                0.17374,                0.09885,                0.03046,                 2.6756,                 2.8443,                 1.6652,             0.00066575,             0.00066575,             0.00066575
                      2,                 2.6753,                 2.7479,                 1.6753,                0.26962,                 0.2442,                0.15368,                0.04343,                 2.7513,                 2.8104,                 1.7671,               0.001306,               0.001306,               0.001306
                      3,                 2.5669,                 2.4542,                 1.6236,                0.31906,                0.29786,                0.19662,                0.05264,                  2.533,                 2.7903,                 1.6198,              0.0019199,              0.0019199,              0.0019199
                      4,                  2.463,                 2.2504,                 1.5815,                0.38364,                0.36589,                0.30419,                0.10408,                 2.5208,                  2.525,                 1.6125,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.4258,                 2.1146,                 1.5537,                0.44477,                 0.3707,                0.35439,                0.11801,                 2.4616,                 2.0693,                 1.5683,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.3422,                 1.9179,                 1.5043,                 0.5933,                0.47304,                0.50437,                0.17761,                 2.3136,                 1.7588,                 1.5041,               0.001802,               0.001802,               0.001802
                      7,                 2.3011,                 1.8216,                  1.476,                0.58995,                0.46037,                0.50257,                 0.1622,                 2.3535,                 1.8111,                 1.5217,              0.0017624,              0.0017624,              0.0017624
                      8,                  2.236,                 1.7181,                 1.4457,                0.67419,                0.53643,                0.59512,                0.20565,                 2.2421,                 1.5972,                  1.465,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2006,                 1.6309,                 1.4269,                0.64387,                0.54203,                 0.5834,                0.21066,                 2.2483,                 1.5957,                 1.4596,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1877,                 1.5642,                 1.4215,                0.71925,                0.58287,                0.62956,                0.23329,                 2.2196,                  1.531,                 1.4629,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.1361,                 1.5079,                 1.3994,                0.72006,                0.58367,                0.64341,                0.22462,                 2.1883,                 1.5076,                 1.4553,               0.001604,               0.001604,               0.001604
                     12,                  2.104,                 1.4169,                 1.3731,                0.74533,                0.70456,                0.74389,                0.28349,                 2.0948,                 1.3477,                 1.4029,              0.0015644,              0.0015644,              0.0015644
                     13,                  2.092,                  1.376,                 1.3652,                0.81616,                0.70056,                0.78038,                0.29294,                 2.1815,                 1.2571,                 1.4394,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0603,                 1.3586,                  1.358,                0.80826,                0.71551,                0.78258,                0.29727,                 2.1301,                 1.3123,                 1.4016,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0519,                 1.3142,                 1.3424,                0.83919,                 0.7462,                0.80631,                0.30048,                 2.1388,                 1.2117,                 1.4074,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0337,                   1.29,                 1.3428,                0.86978,                0.74869,                0.83214,                0.33794,                 2.0135,                 1.1705,                 1.3568,               0.001406,               0.001406,               0.001406
                     17,                  2.014,                 1.2445,                  1.328,                0.86664,                0.76485,                0.85083,                0.34835,                 2.0387,                 1.1072,                 1.3716,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9961,                 1.2058,                 1.3191,                0.85513,                0.77582,                0.83746,                   0.34,                 2.0614,                 1.1435,                 1.3726,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9856,                 1.1768,                 1.3253,                0.88041,                0.78986,                0.84875,                0.36349,                 1.9733,                 1.0972,                 1.3367,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9689,                  1.165,                 1.3018,                0.86665,                0.79103,                0.85603,                0.34202,                 2.0549,                 1.0728,                 1.3646,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9498,                 1.1431,                 1.3011,                0.88696,                0.79504,                0.87155,                0.35954,                 2.0173,                 1.0563,                 1.3491,               0.001208,               0.001208,               0.001208
                     22,                 1.9253,                  1.112,                 1.2985,                0.88353,                0.80169,                0.86664,                0.35641,                 1.9805,                 1.0473,                 1.3386,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.9279,                 1.0882,                 1.2833,                0.90783,                0.83987,                0.89045,                0.38079,                 1.9828,                0.99603,                 1.3343,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.9029,                  1.088,                 1.2789,                0.90177,                0.83054,                 0.8784,                0.37169,                 1.9778,                 1.0262,                 1.3248,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.9137,                 1.0738,                 1.2836,                0.90453,                0.81929,                0.88565,                0.37495,                 1.9887,                  1.005,                 1.3359,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.8888,                 1.0527,                 1.2711,                0.91448,                0.83747,                0.89615,                0.38989,                 1.9491,                0.97511,                 1.3204,                0.00101,                0.00101,                0.00101
                     27,                 1.8828,                 1.0185,                 1.2637,                0.91376,                0.83985,                0.90171,                0.39341,                 1.9406,                0.96472,                 1.3102,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.8628,                   1.02,                 1.2629,                0.90836,                0.85714,                0.90036,                 0.3896,                 1.9347,                0.95525,                 1.3086,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.8601,                 1.0055,                 1.2524,                0.92322,                 0.8727,                0.91481,                 0.3936,                 1.9513,                0.91646,                 1.3147,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.8483,                0.98531,                 1.2558,                0.92523,                0.87191,                0.92597,                0.39157,                 1.9365,                0.92377,                 1.3107,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.8335,                0.97178,                 1.2494,                0.91887,                 0.8759,                0.92429,                0.39532,                 1.9473,                 0.9111,                 1.3159,               0.000812,               0.000812,               0.000812
                     32,                 1.8139,                0.94677,                 1.2347,                0.92247,                 0.8695,                0.92987,                0.39562,                  1.945,                 0.9005,                 1.3108,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.8157,                0.95022,                 1.2412,                0.93451,                0.88711,                0.93728,                0.41359,                 1.9157,                0.86595,                 1.3052,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.8059,                0.93023,                 1.2369,                0.93664,                0.87588,                0.93827,                0.41649,                 1.9081,                0.86435,                 1.2965,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.775,                0.90641,                 1.2259,                0.94493,                0.89297,                0.94382,                 0.4172,                 1.9115,                0.85022,                 1.2961,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7679,                0.89947,                 1.2097,                0.95473,                0.89495,                0.95197,                0.41837,                 1.9077,                 0.8565,                 1.3008,               0.000614,               0.000614,               0.000614
                     37,                 1.7684,                0.89898,                 1.2148,                0.94454,                0.89752,                0.94243,                0.42947,                 1.8756,                0.83433,                 1.2879,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.732,                0.87011,                 1.2003,                0.95246,                0.90713,                0.95139,                0.43244,                 1.8611,                0.82781,                 1.2794,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7349,                0.87456,                 1.1975,                0.94071,                0.89592,                0.94064,                0.42913,                 1.8795,                0.83492,                 1.2889,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7353,                0.86973,                 1.1978,                0.93862,                0.90604,                0.94898,                0.43108,                 1.8974,                0.81629,                 1.2878,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6962,                0.79222,                 1.2696,                0.94905,                0.90981,                0.95249,                0.43646,                 1.8606,                0.80727,                 1.2725,               0.000416,               0.000416,               0.000416
                     42,                 1.6802,                0.75986,                 1.2587,                0.95694,                0.90953,                0.95567,                0.44172,                 1.8648,                0.79905,                 1.2721,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6696,                0.75171,                 1.2604,                0.95621,                0.90918,                0.95729,                0.44697,                  1.862,                0.79322,                 1.2754,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.6457,                0.74568,                 1.2466,                0.95687,                0.91193,                0.95788,                 0.4471,                 1.8555,                0.78746,                 1.2728,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6389,                0.72633,                 1.2353,                 0.9468,                0.91198,                0.96007,                0.44924,                 1.8532,                0.77905,                 1.2697,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6133,                0.72146,                 1.2309,                0.95025,                0.91763,                  0.958,                0.44686,                 1.8624,                 0.7795,                 1.2746,               0.000218,               0.000218,               0.000218
                     47,                 1.6061,                0.71564,                 1.2225,                 0.9581,                0.91541,                 0.9588,                0.45201,                 1.8473,                0.76589,                 1.2706,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.5944,                0.69971,                 1.2154,                0.96053,                0.92074,                0.96541,                0.45626,                 1.8441,                0.75979,                 1.2697,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.5794,                0.69429,                 1.2162,                0.96284,                0.91753,                0.96355,                0.45633,                 1.8422,                 0.7581,                 1.2675,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.5812,                0.68734,                 1.2123,                0.95553,                0.92896,                0.96643,                0.45586,                 1.8427,                 0.7488,                 1.2688,               5.96e-05,               5.96e-05,               5.96e-05
